MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87911	Acvr1	activin A receptor, type 1	2		cardiac muscle cell fate commitment			ISO	Q04771 	J:164563 	
MGI:87911	Acvr1	activin A receptor, type 1	2		endocardial cushion cell fate commitment			ISO	Q04771 	J:164563 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		cell fate specification			IBA	PTN000288612 	J:265628 	
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2	10		cell fate specification			IBA	PTN000288612 	J:265628 	
MGI:88064	Ar	androgen receptor	X		activation of prostate induction by androgen receptor signaling pathway	happens in prostate gland		IMP	MGI:3716756 	J:122327 	
MGI:103264	Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2	3		asymmetric neuroblast division			IMP		J:242973 	
MGI:103264	Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2	3		asymmetric neuroblast division			ISO	Q92974 	J:164563 	
MGI:1097716	Arx	aristaless related homeobox	X		epithelial cell fate commitment	happens in body of stomach,results in a cell's commitment to type A cell of stomach|happens in pyloric antrum,results in a cell's commitment to type G enteroendocrine cell		IMP	MGI:3803178 	J:184887 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		commitment of neuronal cell to specific neuron type in forebrain	happens in diencephalon		IMP	MGI:1857470 	J:188110 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuroblast fate determination	happens in telencephalon ventricular layer,results in a cell's determination to become neuroblast (sensu Vertebrata)		IMP	MGI:1857470 	J:79854 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuroblast fate determination			IMP	MGI:1857470 	J:65410 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuron fate commitment			IDA		J:241054 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuron fate commitment	has the participant future spinal cord,results in a cell's commitment to interneuron		IGI	MGI:2151057 	J:100187 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuron fate commitment	has the participant retina,results in a cell's commitment to neuron		IMP	MGI:1857470 	J:151457 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuron fate commitment	has the participant spinal cord,results in a cell's commitment to interneuron		IMP	MGI:1857470 	J:110261 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuron fate commitment	has the participant olfactory lobe,results in a cell's commitment to sensory neuron|has the participant olfactory epithelium,results in a cell's commitment to sensory neuron		IMP	MGI:1857470 	J:82270 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuron fate specification			IDA		J:241054 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		neuron fate specification			IMP	MGI:1857470 	J:110059 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		noradrenergic neuron fate commitment			ISO	P50553 	J:164563 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		oligodendrocyte cell fate commitment	happens in cerebral cortex,results in a cell's commitment to oligodendrocyte		IMP	MGI:1857470 	J:132162 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		spinal cord oligodendrocyte cell fate specification	happens in spinal cord		IMP	MGI:1857470 	J:135661 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		subpallium neuron fate commitment	happens in cerebral cortex,results in a cell's commitment to CNS neuron (sensu Vertebrata)		IMP	MGI:1857470 	J:51598 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		ventral spinal cord interneuron fate commitment			IMP		J:100187 	
MGI:104654	Atoh1	atonal bHLH transcription factor 1	6		auditory receptor cell fate determination	happens in cochlea,results in a cell's determination to become auditory hair cell		IDA		J:104323 	
MGI:104654	Atoh1	atonal bHLH transcription factor 1	6		auditory receptor cell fate specification			IMP	MGI:2155983 	J:55694 	
MGI:2143322	AW551984	expressed sequence AW551984	9		cardiac muscle cell fate commitment			IGI	MGI:98956 	J:177756 	
MGI:1859314	Barhl2	BarH like homeobox 2	5		cell fate commitment	happens in retina inner nuclear layer,has the participant amacrine cell		IDA		J:89191 	
MGI:1859314	Barhl2	BarH like homeobox 2	5		cell fate determination			IMP		J:82674 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 17 cell lineage commitment			IMP		J:150643 J:190118 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell lineage commitment	happens in bone marrow,results in a cell's commitment to B cell		IMP	MGI:2156165 	J:31364 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		CD8-positive, alpha-beta T cell lineage commitment	happens in bone marrow,results in a cell's commitment to CD8-positive, alpha-beta T cell|happens in thymus,results in a cell's commitment to CD8-positive, alpha-beta T cell|happens in spleen,results in a cell's commitment to CD8-positive, alpha-beta T cell|happens in lymph node,results in a cell's commitment to CD8-positive, alpha-beta T cell		IMP	MGI:2156165 	J:73660 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		T cell lineage commitment	happens in spleen,happens in T cell		IMP	MGI:2156165 	J:31364 	
MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	12		commitment of neuronal cell to specific neuron type in forebrain			IGI	MGI:2679336 	J:192361 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		cell fate commitment	has the participant T cell		IMP		J:80062 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		cell fate commitment	has the participant pro-T cell		IDA		J:80062 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		mesodermal cell fate determination			IMP	MGI:1857137 	J:28717 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		neuron fate commitment	has the participant trigeminal ganglion,results in a cell's commitment to peripheral neuron		IDA		J:126770 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		neuron fate commitment	has the participant trigeminal ganglion,results in a cell's commitment to peripheral neuron		IMP	MGI:2158495 	J:126770 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		regulation of cell fate commitment			ISO	P12644 	J:164563 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14		regulation of lateral mesodermal cell fate specification			IGI	MGI:95522 	J:119568 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14	NOT	regulation of neural crest cell fate specification			IMP		J:89521 	
MGI:88190	Braf	Braf transforming gene	6		CD4-positive or CD8-positive, alpha-beta T cell lineage commitment			IMP	MGI:1857579 	J:131579 	
MGI:5434104	Bvht	braveheart long non-coding RNA	18		cardiac cell fate commitment			IMP		J:207590 	
MGI:107739	Casp3	caspase 3	8		cell fate commitment	happens in embryo,has the participant keratinocyte		IMP	MGI:2178778 	J:90057 	
MGI:1196251	Casz1	castor zinc finger 1	4		negative regulation of retinal cone cell fate commitment			IMP	MGI:3052661 MGI:4841554 	J:219894 	
MGI:1196251	Casz1	castor zinc finger 1	4		retinal rod cell fate commitment			IDA		J:219894 	
MGI:1196251	Casz1	castor zinc finger 1	4		retinal rod cell fate commitment			IMP	MGI:3052661 MGI:4841554 	J:219894 	
MGI:106211	Cdc42	cell division cycle 42	4		neuron fate determination	results in a cell's determination to become neuron		IMP	MGI:3619134 	J:113146 	
MGI:2384876	Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component	1		endodermal cell fate commitment			IMP		J:149841 	
MGI:1926387	Cdon	cell adhesion molecule-related/down-regulated by oncogenes	9		cell fate specification	has the participant diencephalon floor plate		IGI	MGI:98297 	J:108747 	
MGI:1933172	Chrdl1	chordin-like 1	X		cell fate determination			ISO	RGD:735215 	J:155856 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		cell fate determination	happens in telencephalon,results in a cell's determination to become CNS neuron (sensu Vertebrata)		IMP	MGI:2148567 MGI:2176173 	J:96233 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		cell fate specification	results in a cell being specified to become chondrocyte|results in a cell being specified to become osteoblast		IMP	MGI:2148591 MGI:2148594 MGI:2450929 	J:98426 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		endodermal cell fate commitment	happens in foregut diverticulum endoderm,results in a cell's commitment to endodermal cell		IMP	MGI:1858007 MGI:2148567 	J:108981 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		glial cell fate determination			IDA		J:124867 	
MGI:109345	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	7		endodermal cell fate commitment			IMP		J:149841 	
MGI:88564	Ctsl	cathepsin L	13		CD4-positive, alpha-beta T cell lineage commitment			IMP		J:82888 	
