MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:108448	Angpt1	angiopoietin 1	15		endoderm development			TAS		J:53333 	
MGI:1202890	Angpt2	angiopoietin 2	8		endoderm development			TAS		J:53333 	
MGI:1336887	Angpt4	angiopoietin 4	2		endoderm development			TAS		J:53333 	
MGI:1932101	Ankrd17	ankyrin repeat domain 17	5		endoderm development			TAS		J:67263 	
MGI:88067	Arc	activity regulated cytoskeletal-associated protein	15		endoderm development	results in the development of primitive endoderm		IMP	MGI:2386454 	J:61449 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		endoderm development	happens in extraembryonic endoderm		IDA		J:228122 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14		endoderm development	results in the development of definitive endoderm		IMP	MGI:2158342 	J:92179 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14		mesendoderm development	results in the development of notochordal plate		IMP	MGI:2158342 	J:92179 	
MGI:2444008	Bptf	bromodomain PHD finger transcription factor	11		endoderm development	results in the development of primitive endoderm		IMP	MGI:3841299 	J:147414 	
MGI:2384876	Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component	1		endodermal cell fate commitment			IMP		J:149841 	
MGI:109448	Cfc1	cripto, FRL-1, cryptic family 1	1		endoderm development	results in the development of extraembryonic visceral endoderm		IGI	MGI:97451 	J:70278 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		negative regulation of endodermal cell differentiation			ISO	P20908 	J:164563 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		negative regulation of endodermal cell differentiation			ISO	P05997 	J:164563 	
MGI:88448	Col12a1	collagen, type XII, alpha 1	9		endodermal cell differentiation			IBA	PTN002770541 	J:265628 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		endoderm formation	results in the formation of definitive endoderm		IMP	MGI:1858007 MGI:2148567 	J:108981 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		endoderm formation			IMP	MGI:2148567 MGI:4418897 	J:198627 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		endodermal cell fate commitment	happens in foregut diverticulum endoderm,results in a cell's commitment to endodermal cell		IMP	MGI:1858007 MGI:2148567 	J:108981 	
MGI:109345	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	7		endodermal cell fate commitment			IMP		J:149841 	
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein	15	NOT	endoderm development	has the participant embryonic stem cell	PR:P98078-3	IMP		J:183994 	
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein	15		endoderm development	has the participant embryonic stem cell	PR:P98078-1	IMP		J:183994 	
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1	19		endoderm development	results in the development of extraembryonic endoderm		IMP	MGI:2387760 	J:134688 	
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1	19		endoderm formation			IDA		J:155850 	
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1	19		regulation of endodermal cell fate specification			ISO	O94907 	J:164563 	
MGI:105120	Dusp1	dual specificity phosphatase 1	17		endoderm formation			IBA	PTN000017039 	J:265628 	
MGI:101911	Dusp2	dual specificity phosphatase 2	2		endoderm formation			IBA	PTN000017039 	J:265628 	
MGI:2442191	Dusp4	dual specificity phosphatase 4	8		endoderm formation			IBA	PTN000017039 	J:265628 	
MGI:2685183	Dusp5	dual specificity phosphatase 5	19		endoderm formation			IBA	PTN000017039 	J:265628 	
MGI:1201683	Eomes	eomesodermin	9		endoderm development	results in the development of definitive endoderm		IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:1201683	Eomes	eomesodermin	9		endoderm formation			IMP	MGI:3774028 	J:168146 J:176969 	
MGI:1201683	Eomes	eomesodermin	9		endoderm formation			IMP		J:131055 	
MGI:1201683	Eomes	eomesodermin	9		endodermal cell fate specification			IBA	PTN002601220 	J:265628 	
MGI:1201683	Eomes	eomesodermin	9		endodermal cell fate specification			IMP	MGI:3774028 	J:168146 	
MGI:1201683	Eomes	eomesodermin	9		mesendoderm development			IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:103006	Epb41l5	erythrocyte membrane protein band 4.1 like 5	1		endoderm development			IMP	MGI:3822451 	J:142596 	
MGI:894663	Ext1	exostosin glycosyltransferase 1	15		endoderm development			IMP	MGI:1888710 	J:64021 	
MGI:894663	Ext1	exostosin glycosyltransferase 1	15		endoderm development			IMP		J:64021 	
MGI:99604	Fgf8	fibroblast growth factor 8	19		cell migration involved in mesendoderm migration	happens in embryo mesoderm,results in the movement of mesodermal cell|happens in embryo mesoderm,results in the movement of endodermal cell|happens in definitive endoderm,results in the movement of mesodermal cell|happens in definitive endoderm,results in the movement of endodermal cell		IMP	MGI:2150346 	J:56519 	
MGI:95566	Fn1	fibronectin 1	1		endodermal cell differentiation			ISO	P02751 	J:164563 	
MGI:1347476	Foxa2	forkhead box A2	2		mesendoderm development			IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:95664	Gata4	GATA binding protein 4	14		endoderm formation	has the participant epiblast cell		IMP	MGI:2179511 	J:29883 	
MGI:107516	Gata6	GATA binding protein 6	18		endodermal cell differentiation	happens in embryo		IMP	MGI:2177785 	J:51304 	
MGI:107516	Gata6	GATA binding protein 6	18		endodermal cell fate determination			IDA		J:159322 	
MGI:95683	Gdf1	growth differentiation factor 1	8		endoderm development			IGI	MGI:95686 	J:127541 	
MGI:95686	Gdf3	growth differentiation factor 3	6		endoderm development			IGI	MGI:95683 	J:127541 	
MGI:95686	Gdf3	growth differentiation factor 3	6		endoderm development			IMP	MGI:3612535 	J:104371 	
MGI:108086	Hdac1	histone deacetylase 1	4		endoderm development	results in the development of midgut,has the participant gut endothelial cell		IDA		J:89931 	
MGI:108086	Hdac1	histone deacetylase 1	4		endoderm development	results in the development of midgut,has the participant gut endothelial cell		IMP		J:89931 	
MGI:96086	Hhex	hematopoietically expressed homeobox	19		endoderm development			IMP	MGI:2177762 	J:119866 	
MGI:101761	Hmga2	high mobility group AT-hook 2	10		endodermal cell differentiation			ISO	P52926 	J:164563 	
MGI:98505	Hnf1b	HNF1 homeobox B	11		endoderm development			IMP	MGI:1857856 	J:58079 J:139252 	
MGI:98505	Hnf1b	HNF1 homeobox B	11		endoderm development			IMP	MGI:2181390 	J:58080 	
MGI:98505	Hnf1b	HNF1 homeobox B	11		endoderm formation			ISO	A1L1N5 	J:139252 	
MGI:98505	Hnf1b	HNF1 homeobox B	11		endodermal cell fate specification			IMP	MGI:1857856 	J:139252 	
MGI:1915446	Hsbp1	heat shock factor binding protein 1	8		endodermal cell differentiation			IMP		J:206878 	
MGI:96570	Inhba	inhibin beta-A	13		endodermal cell differentiation			ISO	P08476 	J:164563 	
MGI:96604	Itga5	integrin alpha 5 (fibronectin receptor alpha)	15		endodermal cell differentiation			ISO	P08648 	J:164563 	
MGI:96608	Itgav	integrin alpha V	2		endodermal cell differentiation			ISO	P06756 	J:164563 	
MGI:1098240	Kif16b	kinesin family member 16B	2		endoderm development			IMP		J:168572 	
MGI:894762	Ldb1	LIM domain binding 1	19		mesendoderm development			IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:2685031	Leo1	Leo1, Paf1/RNA polymerase II complex component	9		endodermal cell fate commitment			IMP		J:149841 	
MGI:99783	Lhx1	LIM homeobox protein 1	11		endoderm development	results in the development of definitive endoderm		IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:99783	Lhx1	LIM homeobox protein 1	11		endoderm formation	results in the formation of definitive endoderm,has the participant endodermal cell		IMP	MGI:1857848 	J:93592 	
MGI:99783	Lhx1	LIM homeobox protein 1	11		mesendoderm development			IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:1349392	Macroh2a1	macroH2A.1 histone	13		positive regulation of endodermal cell differentiation			ISO	O75367 	J:164563 	
MGI:1926212	Med12	mediator complex subunit 12	X		endoderm development			IMP	MGI:4839486 	J:166045 	
