MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		somatic stem cell population maintenance	happens in intestine,affects a population of somatic stem cell		IGI	MGI:104642 	J:1879 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		somatic stem cell population maintenance	happens in intestine,affects a population of somatic stem cell		IMP	MGI:1856318 	J:1879 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		stem cell population maintenance	happens in bone marrow,affects a population of hematopoietic stem cell|happens in bone marrow,affects a population of myeloid lineage restricted progenitor cell		IMP	MGI:1857966 	J:138809 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4		stem cell population maintenance			IMP	MGI:3796520 	J:134633 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		somatic stem cell population maintenance	happens in small intestine crypt of lieberkuhn,affects a population of somatic stem cell		IMP	MGI:3846671 	J:148715 	
MGI:1334448	Aspm	abnormal spindle microtubule assembly	1		neuronal stem cell population maintenance			IMP		J:154024 	
MGI:1924828	Bcl9	B cell CLL/lymphoma 9	3		somatic stem cell population maintenance	happens in intestine epithelium,affects a population of somatic stem cell		IGI	MGI:1933114 	J:162762 	
MGI:1933114	Bcl9l	B cell CLL/lymphoma 9-like	9		somatic stem cell population maintenance	happens in intestine epithelium,affects a population of somatic stem cell		IGI	MGI:1924828 	J:162762 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis	regulates a function/process that happens in metanephros,regulates a function/process that happens in nephrogenic mesenchyme stem cell		IMP	MGI:1857654 	J:39018 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14		stem cell population maintenance	affects a population of epiblast cell		IMP	MGI:2158342 	J:124681 	
MGI:88190	Braf	Braf transforming gene	6		somatic stem cell population maintenance	affects a population of epithelial fate stem cell		IGI	MGI:97847 	J:196225 	
MGI:2384876	Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component	1		stem cell population maintenance			IMP		J:149841 	
MGI:88355	Cdh2	cadherin 2	18		neuronal stem cell population maintenance			IDA		J:213556 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		somatic stem cell population maintenance	happens in telencephalon,affects a population of neuronal stem cell		IGI	MGI:101761 	J:144068 	
MGI:88361	Cdx2	caudal type homeobox 2	5		somatic stem cell population maintenance	happens in trophectoderm,affects a population of trophoblast cell|happens in trophectoderm,affects a population of multi fate stem cell		IMP	MGI:1857928 	J:162675 	
MGI:88361	Cdx2	caudal type homeobox 2	5		somatic stem cell population maintenance	affects a population of trophoblast cell|affects a population of somatic stem cell		IMP		J:104800 	
MGI:2442402	Cnot1	CCR4-NOT transcription complex, subunit 1	8		regulation of stem cell population maintenance			IMP		J:196241 	
MGI:2442402	Cnot1	CCR4-NOT transcription complex, subunit 1	8		regulation of stem cell population maintenance			ISO	A5YKK6 	J:164563 	
MGI:1919318	Cnot2	CCR4-NOT transcription complex, subunit 2	10		regulation of stem cell population maintenance			IBA	PTN000595688 	J:265628 	
MGI:1919318	Cnot2	CCR4-NOT transcription complex, subunit 2	10		regulation of stem cell population maintenance			IMP		J:196241 	
MGI:1919318	Cnot2	CCR4-NOT transcription complex, subunit 2	10		regulation of stem cell population maintenance			ISO	Q9NZN8 	J:164563 	
MGI:2385261	Cnot3	CCR4-NOT transcription complex, subunit 3	7		regulation of stem cell population maintenance			IBA	PTN000595760 	J:265628 	
MGI:2385261	Cnot3	CCR4-NOT transcription complex, subunit 3	7		regulation of stem cell population maintenance			IMP		J:196241 	
MGI:2385261	Cnot3	CCR4-NOT transcription complex, subunit 3	7		regulation of stem cell population maintenance			ISO	O75175 	J:164563 	
MGI:1098280	Crebbp	CREB binding protein	16		germ-line stem cell population maintenance			IMP	MGI:2177588 MGI:3618462 	J:127542 	
MGI:109345	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	7		stem cell population maintenance			IMP		J:149841 	
MGI:109345	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	7		stem cell population maintenance			ISO	Q6PD62 	J:164563 	
MGI:1914487	Cul4a	cullin 4A	8		somatic stem cell population maintenance			IMP	MGI:2183544 	J:147012 	
MGI:104976	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	9		stem cell population maintenance	happens in EMAPA:17544		IMP		J:217461 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		stem cell population maintenance	happens in embryo,affects a population of stem cell		IMP	MGI:2681012 	J:86391 	
MGI:2442555	Dis3l2	DIS3 like 3'-5' exoribonuclease 2	1		stem cell population maintenance			IMP		J:197683 	
MGI:104659	Dll1	delta like canonical Notch ligand 1	17		neuronal stem cell population maintenance			IMP		J:224724 	
MGI:2157523	Dppa2	developmental pluripotency associated 2	16		stem cell population maintenance			IMP		J:168186 	
MGI:95305	Eif4e	eukaryotic translation initiation factor 4E	3		stem cell population maintenance			IGI	MGI:1921453 	J:217461 	
MGI:95305	Eif4e	eukaryotic translation initiation factor 4E	3		stem cell population maintenance	affects a population of radial glial cell		IMP		J:217461 	
MGI:1921453	Eif4enif1	eukaryotic translation initiation factor 4E nuclear import factor 1	11		stem cell population maintenance	happens in EMAPA:17544		IGI	MGI:95305 	J:217461 	
MGI:1100851	Elavl1	ELAV (embryonic lethal, abnormal vision)-like 1 (Hu antigen R)	8		regulation of stem cell population maintenance			IMP		J:207885 	
MGI:1335079	Elf5	E74-like factor 5	2		somatic stem cell population maintenance	happens in trophectoderm		IMP		J:214999 	
MGI:1201683	Eomes	eomesodermin	9		stem cell population maintenance	affects a population of trophoblast cell		IMP		J:160495 	
MGI:2384747	Erdr1	erythroid differentiation regulator 1	XY		somatic stem cell population maintenance	affects a population of hematopoietic stem cell		IDA		J:150463 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		positive regulation of stem cell population maintenance			IDA		J:193651 J:240260 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		positive regulation of stem cell population maintenance			IMP		J:188268 J:240583 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		stem cell population maintenance			IDA		J:240273 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		stem cell population maintenance	affects a population of epiblast cell		IMP		J:107560 J:111554 J:164442 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		stem cell population maintenance			IMP		J:240259 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		stem cell population maintenance			ISO	O95718 	J:164563 	
MGI:95480	Fancc	Fanconi anemia, complementation group C	13		neuronal stem cell population maintenance	happens in brain ventricular layer|happens in brain subventricular zone		IGI	MGI:1890081 	J:226736 	
MGI:2448480	Fancd2	Fanconi anemia, complementation group D2	6		neuronal stem cell population maintenance	happens in brain ventricular layer|happens in brain subventricular zone		IGI	MGI:1890081 	J:226736 	
MGI:95518	Fgf4	fibroblast growth factor 4	7		stem cell population maintenance	has the participant mural trophectoderm,affects a population of trophoblast cell|has the participant mural trophectoderm,affects a population of single fate stem cell		IGI	MGI:97359 	J:92446 	
MGI:1099809	Fgf10	fibroblast growth factor 10	13		somatic stem cell population maintenance	happens in lower jaw incisor enamel organ		IMP	MGI:1859647 	J:74912 	
MGI:95522	Fgfr1	fibroblast growth factor receptor 1	8		stem cell population maintenance			ISO	RGD:620713 	J:155856 	
MGI:95524	Fgfr3	fibroblast growth factor receptor 3	5		somatic stem cell population maintenance	happens in small intestine crypt of lieberkuhn,affects a population of somatic stem cell		IMP	MGI:1931521 	J:151194 	
MGI:1890077	Foxo1	forkhead box O1	3		neuronal stem cell population maintenance	happens in brain subventricular zone		IGI	MGI:1890081 	J:154024 	
MGI:1890081	Foxo3	forkhead box O3	10		neuronal stem cell population maintenance	happens in brain subventricular zone		IGI	MGI:1890077 	J:154024 	
MGI:1890081	Foxo3	forkhead box O3	10		neuronal stem cell population maintenance	happens in brain ventricular layer|happens in brain subventricular zone		IGI	MGI:2448480 MGI:95480 	J:226736 	
MGI:2384748	Fut10	fucosyltransferase 10	8		neuronal stem cell population maintenance			IMP		J:204554 	
MGI:108570	Fzd7	frizzled class receptor 7	1		stem cell population maintenance			ISO	O75084 	J:164563 	
MGI:95662	Gata2	GATA binding protein 2	6		somatic stem cell population maintenance	affects a population of brown preadipocyte		IMP		J:100710 	
MGI:1353651	Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	14		stem cell population maintenance			ISO	Q9BVP2 	J:164563 	
MGI:3044668	Gsdma3	gasdermin A3	11		somatic stem cell population maintenance	happens in hair follicle,affects a population of keratinocyte stem cell		IMP	MGI:4849547 	J:180149 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		neuronal stem cell population maintenance			IMP		J:175113 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		neuronal stem cell population maintenance			ISO	RGD:62081 	J:155856 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		somatic stem cell population maintenance	happens in pancreas primordium dorsal bud,affects a population of pancreatic A cell		IMP	MGI:2149672 	J:59312 	
MGI:104876	Hes5	hes family bHLH transcription factor 5	4		neuronal stem cell population maintenance			IMP		J:175113 	
MGI:104876	Hes5	hes family bHLH transcription factor 5	4		neuronal stem cell population maintenance			ISO	RGD:621340 	J:155856 	
MGI:96071	Hesx1	homeobox gene expressed in ES cells	14		stem cell population maintenance	is a part of signal transduction		IMP		J:297356 	
MGI:101761	Hmga2	high mobility group AT-hook 2	10		regulation of stem cell population maintenance			ISO	P52926 	J:164563 	
MGI:101761	Hmga2	high mobility group AT-hook 2	10		somatic stem cell population maintenance	happens in telencephalon,affects a population of neuronal stem cell		IGI	MGI:104738 	J:144068 	
MGI:101761	Hmga2	high mobility group AT-hook 2	10		somatic stem cell population maintenance	happens in telencephalon,affects a population of neuronal stem cell|happens in gut,affects a population of neuronal stem cell		IMP	MGI:2386412 	J:144068 	
MGI:98505	Hnf1b	HNF1 homeobox B	11		negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis			IMP	MGI:1857856 	J:157251 	
MGI:2443554	Hook3	hook microtubule tethering protein 3	8		neuronal stem cell population maintenance	happens in extraembryonic component		IMP		J:161175 	
