#Supplementary Table S2. Response of gene expression 48hr after induction of transcription factors in mouse ES cells
#All gene expression changes here are significant (FDR<=0.05 and fold change>1.5).
#Logratio is for average of Cy3/Cy5 (or Dox- vs Dox+ )
#Fold Change is logratio converted (i.e., 10**(logratio))

Transcription factor	Gene_symbol	Logratio(log10)	Fold change
Ascl2	March1	0.4163	2.607
Cdx2	March1	-0.5537	0.2794
Dlx3	March1	-0.569	0.2697
Dmrt1	March1	-0.3776	0.4191
Elf5	March1	0.2916	1.957
Esx1	March1	-0.6489	0.2244
Foxa1	March1	0.2463	1.763
Foxg1	March1	-0.3728	0.4238
Foxl2	March1	0.6484	4.45
Gata2	March1	0.2089	1.617
Gbx2	March1	-0.3953	0.4024
Hesx1	March1	-0.246	0.5675
Hoxa9	March1	-0.2549	0.556
Jun	March1	-0.2606	0.5487
Klf4	March1	0.8624	7.284
Nr2f1	March1	-0.2612	0.548
Nrip1	March1	0.6986	4.995
Sall4	March1	-0.5302	0.2949
Sox11	March1	0.5553	3.591
Sox7	March1	-0.4011	0.3971
Sox9	March1	-0.5321	0.2936
Tcf3	March1	-0.4984	0.3173
Tgif1	March1	0.5267	3.362
Zscan4c	March1	0.427	2.673
Dmrt1	March5	-0.2857	0.5179
Myc	March5	0.1908	1.551
Tcf3	March5	-0.1822	0.6573
Dmrt1	March6	0.18	1.513
Ascl1	March8	0.222	1.667
Ascl2	March8	0.185	1.531
Cdx2	March8	0.2674	1.85
Dlx3	March8	-0.2417	0.5731
Esx1	March8	0.192	1.555
Foxg1	March8	0.1813	1.518
Klf4	March8	-0.4226	0.3779
Myod1	March8	0.2531	1.791
Nrip1	March8	0.3186	2.082
Gata2	March9	-0.2291	0.59
Klf3	March9	-0.2296	0.5893
Klf9	March9	-0.2069	0.621
Bcl6	March11	-0.289	0.514
Cdx2	March11	-0.7511	0.1773
Dlx3	March11	0.2978	1.985
Elf1	March11	-0.3677	0.4288
Gata2	March11	-0.4772	0.3332
Gata3	March11	-0.5002	0.316
Gbx2	March11	-0.3132	0.4861
Hnf4a	March11	-0.2904	0.5123
Irf2	March11	-0.3414	0.4556
Jun	March11	-0.3327	0.4648
Tcfap2c	March11	-0.2375	0.5787
Tgif1	March11	0.3207	2.092
Zscan4c	March11	-0.2838	0.5202
Cdx2	Sept1	-0.3799	0.4169
Dlx3	Sept1	0.192	1.555
Dmrt1	Sept1	-0.5264	0.2975
Esx1	Sept1	-0.4284	0.3729
Foxc1	Sept1	-0.3016	0.4993
Foxl2	Sept1	-0.3095	0.4903
Gata2	Sept1	-0.4012	0.397
Gata3	Sept1	-0.1967	0.6357
Hoxa9	Sept1	0.1946	1.565
Jun	Sept1	-0.2078	0.6197
Nkx2-5	Sept1	-0.2341	0.5833
Nrip1	Sept1	-0.5121	0.3075
Pou5f1	Sept1	-0.2199	0.6026
Sox11	Sept1	-0.2141	0.6108
Sox9	Sept1	-0.2083	0.619
Tcf3	Sept1	-0.3243	0.4739
Zic1	Sept1	-0.2105	0.6158
Bcl6	Sept3	-0.1954	0.6376
Cdx2	Sept3	-0.3216	0.4768
Elf1	Sept3	-0.277	0.5284
Esx1	Sept3	-0.4056	0.393
Foxa1	Sept3	-0.2233	0.5979
Foxl2	Sept3	-0.3187	0.48
Foxp3	Sept3	-0.206	0.6223
Gata2	Sept3	-0.3429	0.454
Gata3	Sept3	-0.3253	0.4728
Jun	Sept3	-0.3006	0.5004
Klf4	Sept3	-0.2948	0.5072
Nkx2-5	Sept3	-0.279	0.526
Tbx5	Sept3	-0.1807	0.6596
Tcfap2c	Sept3	-0.2521	0.5596
Zscan4c	Sept3	-0.2631	0.5456
Ascl1	Sept4	0.5123	3.253
Cdx2	Sept4	0.2918	1.957
Dlx3	Sept4	0.2447	1.756
Dmrt1	Sept4	0.4349	2.722
Elf5	Sept4	-0.1906	0.6447
Eomes	Sept4	0.5796	3.798
Esx1	Sept4	0.9573	9.063
Foxg1	Sept4	0.2185	1.653
Foxl2	Sept4	0.3012	2
Gata2	Sept4	0.1894	1.546
Gata3	Sept4	0.221	1.663
Gbx2	Sept4	0.2724	1.872
Myc	Sept4	-0.3767	0.42
Nkx2-5	Sept4	0.7556	5.696
Nr2f1	Sept4	0.216	1.644
Otx2	Sept4	0.7035	5.052
Rxra	Sept4	0.3975	2.497
Smad7	Sept4	0.4038	2.533
Sox9	Sept4	0.6441	4.406
T	Sept4	0.3808	2.403
Tcf3	Sept4	0.3671	2.328
Tcfap2c	Sept4	0.2985	1.988
Tgif1	Sept4	-0.1995	0.6316
Zfp57	Sept4	-0.2196	0.6031
Zic1	Sept4	0.2548	1.798
Zscan4c	Sept4	0.8527	7.123
Cdx2	Sept5	0.2191	1.656
Dlx3	Sept5	0.2009	1.588
Dmrt1	Sept5	0.5948	3.933
Esx1	Sept5	0.2566	1.805
Foxc1	Sept5	0.1839	1.527
Foxl2	Sept5	0.2679	1.853
Gata2	Sept5	0.5439	3.498
Gata3	Sept5	0.3013	2.001
